TestCaseID,Host,Monitor,Peripheral,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,1,10,10,77.5,77.5,TRUE,2022/3/22 11:28:56,RQD、fuyang
2,2,10,10,80,80,TRUE,2022/3/22 11:28:56,RQD、fuyang
3,34,10,10,240,240,TRUE,2022/3/22 11:28:56,RQD、fuyang
4,35,10,10,243.75,243.75,TRUE,2022/3/22 11:28:56,RQD、fuyang
5,10,1,10,73,73,TRUE,2022/3/22 11:28:56,RQD、fuyang
6,10,2,10,76,76,TRUE,2022/3/22 11:28:56,RQD、fuyang
7,10,39,10,374,374,TRUE,2022/3/22 11:28:56,RQD、fuyang
8,10,40,10,380,380,TRUE,2022/3/22 11:28:56,RQD、fuyang
9,10,10,1,59.5,59.5,TRUE,2022/3/22 11:28:56,RQD、fuyang
10,10,10,2,64,64,TRUE,2022/3/22 11:28:56,RQD、fuyang
11,10,10,40,470,470,TRUE,2022/3/22 11:28:56,RQD、fuyang
12,10,10,41,479,479,TRUE,2022/3/22 11:28:56,RQD、fuyang
13,10,10,10,100,100,TRUE,2022/3/22 11:28:56,RQD、fuyang